timestamp,day_of_week,is_weekend,city,junction_id,junction_name,latitude,longitude,zone_type,road_capacity,vehicle_count,avg_speed_kmh,congestion_index,fixed_green_sec,adaptive_green_sec,green_time_difference_sec,captured_vehicle_type,event_vehicle_speed_kmh,event_signal_is_red,event_dist_past_line_m,has_helmet,has_seatbelt,is_true_violation,offence_category,fine_amount_inr
2026-08-17 00:00:00,Monday,0,Hyderabad,245640873,Neredmet Crossroad (Hyderabad),17.4818456,78.5365375,Residential Area,276,107,42.4,0.39,30,44,14,4 WHEELER,50.3,0,-1.5,1,1,0,No VIOLATION,0
2026-08-17 00:00:00,Monday,0,Hyderabad,289510346,Junction 289510346 (Hyderabad),17.4271038,78.4522925,Transit Corridor,281,103,43.5,0.37,30,42,12,4 WHEELER,68.7,0,11.5,1,1,1,OVERSPEEDING,2000
2026-08-17 00:00:00,Monday,0,Hyderabad,289895020,Junction 289895020 (Hyderabad),17.4214218,78.4844195,Commercial Hub,224,69,46.9,0.31,30,38,8,2 WHEELER,65.0,0,0.9,1,1,1,OVERSPEEDING,2000
2026-08-17 00:00:00,Monday,0,Hyderabad,289907074,Paradise (Hyderabad),17.4418278,78.4875311,Residential Area,190,39,52.1,0.21,30,30,0,4 WHEELER,53.7,0,0.7,1,1,0,No VIOLATION,0
2026-08-17 00:00:00,Monday,0,Hyderabad,306605263,Junction 306605263 (Hyderabad),17.3644949,78.5014095,Transit Corridor,266,77,48.0,0.29,30,36,6,4 WHEELER,25.9,0,4.2,1,1,0,No VIOLATION,0
2026-08-17 00:00:00,Monday,0,Mumbai,245653232,Junction 245653232 (Mumbai),18.9143089,72.8217366,Commercial Hub,165,51,46.9,0.31,30,38,8,4 WHEELER,58.6,0,-3.0,1,1,1,OVERSPEEDING,2000
2026-08-17 00:00:00,Monday,0,Mumbai,245653329,Junction 245653329 (Mumbai),18.9164885,72.8236255,Residential Area,169,50,47.5,0.3,30,37,7,2 WHEELER,71.7,1,3.0,0,1,1,RED LIGHT JUMPED,1000
2026-08-17 00:00:00,Monday,0,Mumbai,245653413,Junction 245653413 (Mumbai),18.9187946,72.8255542,Transit Corridor,214,66,46.9,0.31,30,38,8,AUTO RICKSHAW,56.8,0,6.6,1,1,1,OVERSPEEDING,2000
2026-08-17 00:00:00,Monday,0,Mumbai,245653464,Junction 245653464 (Mumbai),18.9189023,72.8290725,Commercial Hub,276,102,43.5,0.37,30,42,12,4 WHEELER,24.1,0,11.5,1,1,0,No VIOLATION,0
2026-08-17 00:00:00,Monday,0,Mumbai,245653613,Junction 245653613 (Mumbai),18.9210581,72.8263833,Residential Area,183,67,43.5,0.37,30,42,12,AUTO RICKSHAW,66.7,0,-0.9,1,1,1,OVERSPEEDING,2000
